"Description" "polaczenie" "Distance" "ilosc_lotow"
"American Airlines Inc." "Omaha(NE) - Dallas-Fort Worth(TX)" 583 27285
"American Airlines Inc." "Nashville(TN) - Detroit(MI)" 457 7950
"American Airlines Inc." "Memphis(TN) - Nashville(TN)" 200 7909
"American Airlines Inc." "Boston(MA) - Windsor Locks(CT)" 91 13
"American Airlines Inc." "Oakland(CA) - Chicago(IL)" 1835 716
"American Airlines Inc." "Dallas-Fort Worth(TX) - Seattle(WA)" 1660 51194
"American Airlines Inc." "Seattle(WA) - Dallas-Fort Worth(TX)" 1660 52848
"American Airlines Inc." "Nashville(TN) - Raleigh(NC)" 443 6944
"American Airlines Inc." "Dallas-Fort Worth(TX) - Shreveport(LA)" 190 7888
"American Airlines Inc." "Raleigh(NC) - Greensboro(NC)" 67 2711
"American Airlines Inc." "Shreveport(LA) - Baton Rouge(LA)" 206 1918
"American Airlines Inc." "Covington(KY) - Baltimore(MD)" 430 2
"American Airlines Inc." "Chicago(IL) - Las Vegas(NV)" 1515 35514
"American Airlines Inc." "Houston(TX) - Harlingen(TX)" 295 1280
"American Airlines Inc." "Chicago(IL) - Houston(TX)" 925 32363
"American Airlines Inc." "Nashville(TN) - Little Rock(AR)" 327 7841
"American Airlines Inc." "Des Moines(IA) - Dallas-Fort Worth(TX)" 624 16510
"American Airlines Inc." "Seattle(WA) - Anchorage(AK)" 1449 115
"American Airlines Inc." "Dallas-Fort Worth(TX) - Savannah(GA)" 925 2711
"American Airlines Inc." "Jacksonville(FL) - Dallas-Fort Worth(TX)" 919 19903
"American Airlines Inc." "Savannah(GA) - Jacksonville(FL)" 117 4555
"American Airlines Inc." "Harlingen(TX) - Houston(TX)" 295 1336
"American Airlines Inc." "Nashville(TN) - Baton Rouge(LA)" 464 5878
"American Airlines Inc." "Albuquerque(NM) - Chicago(IL)" 1118 17452
"American Airlines Inc." "Atlanta(GA) - Charleston(SC)" 259 1087
"American Airlines Inc." "Chicago(IL) - Atlanta(GA)" 606 38447
"American Airlines Inc." "Fort Wayne(IN) - Akron(OH)" 196 386
"American Airlines Inc." "Providence(RI) - Chicago(IL)" 849 24807
"American Airlines Inc." "Charlotte(NC) - Columbia(SC)" 88 1279
